"clip_id","smiler_id","culture","smile_type","label_conflict","stimulus","stimulus_num","take_num","clip_duration_s","n_frames","channel","channel_type","peak","mean_intensity","sd_intensity","auc","prop_active","n_episodes","dur_total_s","dur_longest_s","t_peak_s","t_peak_prop","t_peak_usable","censored_start","censored_end","n_valid_frames","n_missing_frames"
"E11HA04-05","C11","Chinese","Genuine",0,"Happy 4 CN",4,5,4.25,34,"AU05","action_unit",0,0,0,0,0,0,0,0,0,0,1,0,0,34,0
"E11HA04-05","C11","Chinese","Genuine",0,"Happy 4 CN",4,5,4.25,34,"AU06","action_unit",2,1.23529411764706,0.81867681599961,5.125,0.764705882352941,1,3.25,3.25,2.25,0.529411764705882,1,0,1,34,0
"E11HA04-05","C11","Chinese","Genuine",0,"Happy 4 CN",4,5,4.25,34,"AU07","action_unit",1,0.588235294117647,0.499554168435642,2.4375,0.588235294117647,3,2.5,1.625,1.125,0.264705882352941,1,0,1,34,0
"E11HA04-05","C11","Chinese","Genuine",0,"Happy 4 CN",4,5,4.25,34,"AU09","action_unit",0,0,0,0,0,0,0,0,0,0,1,0,0,34,0
"E11HA04-05","C11","Chinese","Genuine",0,"Happy 4 CN",4,5,4.25,34,"AU10","action_unit",0,0,0,0,0,0,0,0,0,0,1,0,0,34,0
"E11HA04-05","C11","Chinese","Genuine",0,"Happy 4 CN",4,5,4.25,34,"AU12","action_unit",3,2.47058823529412,0.991946177598027,10.3125,0.911764705882353,1,3.875,3.875,1,0.235294117647059,1,0,1,34,0
"E11HA04-05","C11","Chinese","Genuine",0,"Happy 4 CN",4,5,4.25,34,"AU14","action_unit",0,0,0,0,0,0,0,0,0,0,1,0,0,34,0
"E11HA04-05","C11","Chinese","Genuine",0,"Happy 4 CN",4,5,4.25,34,"AU15","action_unit",0,0,0,0,0,0,0,0,0,0,1,0,0,34,0
"E11HA04-05","C11","Chinese","Genuine",0,"Happy 4 CN",4,5,4.25,34,"AU17","action_unit",0,0,0,0,0,0,0,0,0,0,1,0,0,34,0
"E11HA04-05","C11","Chinese","Genuine",0,"Happy 4 CN",4,5,4.25,34,"AU18","action_unit",0,0,0,0,0,0,0,0,0,0,1,0,0,34,0
"E11HA04-05","C11","Chinese","Genuine",0,"Happy 4 CN",4,5,4.25,34,"AU20","action_unit",1,0.38235294117647,0.493270218056382,1.5625,0.382352941176471,1,1.625,1.625,2.625,0.61764705882353,1,0,1,34,0
"E11HA04-05","C11","Chinese","Genuine",0,"Happy 4 CN",4,5,4.25,34,"AU23","action_unit",0,0,0,0,0,0,0,0,0,0,1,0,0,34,0
"E11HA04-05","C11","Chinese","Genuine",0,"Happy 4 CN",4,5,4.25,34,"AU24","action_unit",0,0,0,0,0,0,0,0,0,0,1,0,0,34,0
"E11HA04-05","C11","Chinese","Genuine",0,"Happy 4 CN",4,5,4.25,34,"AU25","action_unit",3,1.17647058823529,1.11384097214546,4.875,0.61764705882353,1,2.625,2.625,3.125,0.735294117647059,1,0,1,34,0
"E11HA04-05","C11","Chinese","Genuine",0,"Happy 4 CN",4,5,4.25,34,"AU26","action_unit",1,0.147058823529412,0.359490627953571,0.625,0.147058823529412,1,0.625,0.625,3.25,0.764705882352941,1,0,0,34,0
"E11HA04-05","C11","Chinese","Genuine",0,"Happy 4 CN",4,5,4.25,34,"AU27","action_unit",0,0,0,0,0,0,0,0,0,0,1,0,0,34,0
"E11HA04-05","C11","Chinese","Genuine",0,"Happy 4 CN",4,5,4.25,34,"AU43","action_unit",4,2.20588235294118,1.29753640142097,9.0625,1,1,4.25,4.25,2.75,0.647058823529412,0,1,1,34,0
"E11HA05-04","C11","Chinese","Genuine",0,"Happy 5 CN",5,4,4.625,37,"Neutral","emotion",0.7713069,0.361136081081081,0.167156157865045,1.5905217125,0.189189189189189,2,0.875,0.75,0.25,0.0540540540540541,0,1,1,37,0
"E11HA05-04","C11","Chinese","Genuine",0,"Happy 5 CN",5,4,4.625,37,"Happy","emotion",0.6358484,0.403332463243243,0.156704403895529,1.84811297375,0.27027027027027,2,1.25,1,2.75,0.594594594594595,1,0,0,37,0
"E11HA05-04","C11","Chinese","Genuine",0,"Happy 5 CN",5,4,4.625,37,"Sad","emotion",0.02918599,0.0088591765945946,0.00712208113229721,0.038454533,0,0,0,0,0.125,0.027027027027027,1,0,0,37,0
"E11HA05-04","C11","Chinese","Genuine",0,"Happy 5 CN",5,4,4.625,37,"Angry","emotion",0.2293842,0.111225418378378,0.048247005849229,0.497124685,0,0,0,0,1.125,0.243243243243243,1,0,0,37,0
"E11HA05-04","C11","Chinese","Genuine",0,"Happy 5 CN",5,4,4.625,37,"Surprised","emotion",0.2166747,0.0309793229459459,0.0587127869287715,0.128987887375,0,0,0,0,0,0,1,0,0,37,0
"E11HA05-04","C11","Chinese","Genuine",0,"Happy 5 CN",5,4,4.625,37,"Scared","emotion",0.0157788,0.00291897781081081,0.00361027428788482,0.01230092025,0,0,0,0,0,0,1,0,0,37,0
"E11HA05-04","C11","Chinese","Genuine",0,"Happy 5 CN",5,4,4.625,37,"Disgusted","emotion",0.07547665,0.0208816046486487,0.0214650219978767,0.0957631675,0,0,0,0,3.25,0.702702702702703,1,0,0,37,0
"E11HA05-04","C11","Chinese","Genuine",0,"Happy 5 CN",5,4,4.625,37,"Contempt","emotion",0.007403756,0.00297664586486487,0.00174570009823399,0.0134218114375,0,0,0,0,2.375,0.513513513513513,1,0,0,37,0
"E11HA05-04","C11","Chinese","Genuine",0,"Happy 5 CN",5,4,4.625,37,"AU01","action_unit",1,0.081081081081081,0.27672473069203,0.3125,0.0810810810810811,1,0.375,0.375,0,0,0,1,0,37,0
"E11HA05-04","C11","Chinese","Genuine",0,"Happy 5 CN",5,4,4.625,37,"AU02","action_unit",1,0.0270270270270271,0.164398987305357,0.0625,0.027027027027027,1,0.125,0.125,0,0,0,1,0,37,0
"E11HA05-04","C11","Chinese","Genuine",0,"Happy 5 CN",5,4,4.625,37,"AU04","action_unit",0,0,0,0,0,0,0,0,0,0,1,0,0,37,0
"E11HA05-04","C11","Chinese","Genuine",0,"Happy 5 CN",5,4,4.625,37,"AU05","action_unit",0,0,0,0,0,0,0,0,0,0,1,0,0,37,0
"E11HA05-04","C11","Chinese","Genuine",0,"Happy 5 CN",5,4,4.625,37,"AU06","action_unit",2,0.837837837837838,0.500750187968762,3.8125,0.783783783783784,1,3.625,3.625,2.375,0.513513513513513,1,0,1,37,0
"E11HA05-04","C11","Chinese","Genuine",0,"Happy 5 CN",5,4,4.625,37,"AU07","action_unit",2,1.62162162162162,0.720777024827734,7.375,0.864864864864865,1,4,4,1.125,0.243243243243243,1,0,1,37,0
"E11HA05-04","C11","Chinese","Genuine",0,"Happy 5 CN",5,4,4.625,37,"AU09","action_unit",0,0,0,0,0,0,0,0,0,0,1,0,0,37,0
"E11HA05-04","C11","Chinese","Genuine",0,"Happy 5 CN",5,4,4.625,37,"AU10","action_unit",0,0,0,0,0,0,0,0,0,0,1,0,0,37,0
"E11HA05-04","C11","Chinese","Genuine",0,"Happy 5 CN",5,4,4.625,37,"AU12","action_unit",2,1.81081081081081,0.397061276955658,8.25,1,1,4.625,4.625,0.75,0.162162162162162,0,1,1,37,0
"E11HA05-04","C11","Chinese","Genuine",0,"Happy 5 CN",5,4,4.625,37,"AU14","action_unit",0,0,0,0,0,0,0,0,0,0,1,0,0,37,0
