"clip_id","smiler_id","culture","smile_type","stimulus","frame","time_s","Neutral","Happy","Sad","Angry","Surprised","Scared","Disgusted","Contempt","AU01","AU02","AU04","AU05","AU06","AU07","AU09","AU10","AU12","AU14","AU15","AU17","AU18","AU20","AU23","AU24","AU25","AU26","AU27","AU43"
"E11HA03-03","C11","Chinese","Genuine","Happy 3 CN",3,0.25,0.5321854,0.2323345,0.03448375,0.05352328,0.007857924,0.001826664,0.04917673,0.001153973,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3
"E11HA03-03","C11","Chinese","Genuine","Happy 3 CN",4,0.375,0.4380066,0.3310432,0.02517946,0.04299439,0.007196407,0.001343323,0.03505978,0.001568064,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3
"E11HA03-03","C11","Chinese","Genuine","Happy 3 CN",5,0.5,0.3845431,0.3761264,0.01844666,0.0401202,0.005605011,0.000990082,0.02753247,0.002508562,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3
"E11HA03-03","C11","Chinese","Genuine","Happy 3 CN",6,0.625,0.3450772,0.4108156,0.01341284,0.0349757,0.004997141,0.000766697,0.02090019,0.009100387,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3
"E11HA03-03","C11","Chinese","Genuine","Happy 3 CN",7,0.75,0.3165164,0.4374697,0.009825717,0.03342175,0.003884511,0.000565771,0.01613089,0.007497048,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,3
"E11HA03-03","C11","Chinese","Genuine","Happy 3 CN",8,0.875,0.3043656,0.4413495,0.007313312,0.03465931,0.003796378,0.000448738,0.01226051,0.009956875,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,3
"E11HA03-03","C11","Chinese","Genuine","Happy 3 CN",9,1,0.302543,0.4303126,0.005793819,0.03516667,0.003452453,0.000412332,0.009788333,0.01062896,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,3
"E11HA03-03","C11","Chinese","Genuine","Happy 3 CN",10,1.125,0.3152251,0.3957615,0.004926898,0.03663524,0.002771051,0.000470027,0.01092449,0.01069497,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,3
"E11HA03-03","C11","Chinese","Genuine","Happy 3 CN",11,1.25,0.3293111,0.3616273,0.004282362,0.0354583,0.002275202,0.00051988,0.01320602,0.0103733,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,3
"E11HA03-03","C11","Chinese","Genuine","Happy 3 CN",12,1.375,0.3087138,0.3979023,0.003228284,0.02958994,0.001881721,0.000384094,0.01164284,0.009310002,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,3
"E11HA03-03","C11","Chinese","Genuine","Happy 3 CN",13,1.5,0.3126421,0.3867986,0.002610342,0.02619942,0.001857794,0.000297767,0.009852022,0.008310867,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,3
